iter	Accuracy	MultiClass
0	0.3621460437	1.098047181
1	0.3659961491	1.09752366
2	0.3754654522	1.097048168
3	0.375328169	1.0965179
4	0.3775489099	1.095955949
5	0.3799659511	1.095423548
6	0.3799935622	1.09501554
7	0.383340608	1.094613162
8	0.3854783147	1.094164435
9	0.3883778957	1.093754821
10	0.390260244	1.09333716
11	0.3927439376	1.092983704
12	0.3929584069	1.092730936
13	0.394550455	1.092176009
14	0.3964976926	1.091740283
15	0.3949735644	1.091433172
16	0.3967390743	1.091101221
17	0.3967523278	1.09075059
18	0.3969645916	1.090578309
19	0.3968967587	1.090205201
20	0.3973473099	1.089772554
21	0.397668143	1.089415728
22	0.3997230046	1.089033888
23	0.4008344414	1.088737597
24	0.4013323987	1.088478448
25	0.4022597519	1.08809757
26	0.4037546384	1.08780234
27	0.4031435188	1.087508015
28	0.4042731892	1.087095512
29	0.4058483325	1.086748471
30	0.4075810875	1.086492819
31	0.4082965826	1.086188978
32	0.4094969913	1.085736736
33	0.4109352337	1.08546083
34	0.4118277724	1.085073862
35	0.4123538178	1.084687733
36	0.4123509021	1.084374026
37	0.4156912879	1.083998526
38	0.4151532483	1.083664388
39	0.4153616007	1.083396326
40	0.4160502732	1.083140975
41	0.4157070987	1.082910432
42	0.4169731726	1.082618724
43	0.4183869718	1.082430135
44	0.4192759767	1.082164244
45	0.4197175667	1.081826666
46	0.4204631905	1.081407678
47	0.4205900968	1.081162802
48	0.4210330093	1.081017427
49	0.4217204707	1.080786024
50	0.422986804	1.080473445
