iter	Passed	Remaining
0	121	60465
1	165	41240
2	201	33440
3	235	29234
4	268	26568
5	298	24565
6	330	23267
7	360	22187
8	393	21454
9	422	20716
10	454	20220
11	483	19648
12	511	19161
13	544	18913
14	576	18634
15	607	18386
16	640	18184
17	673	18042
18	702	17785
19	731	17567
20	762	17391
21	794	17258
22	823	17081
23	856	16982
24	888	16872
25	920	16784
26	949	16634
27	980	16521
28	1013	16462
29	1044	16363
30	1077	16305
31	1106	16182
32	1137	16098
33	1165	15971
34	1200	15943
35	1234	15917
36	1266	15848
37	1295	15746
38	1328	15699
39	1358	15628
40	1389	15556
41	1422	15507
42	1451	15429
43	1483	15374
44	1514	15316
45	1544	15246
46	1578	15212
47	1609	15153
48	1636	15066
49	1667	15011
50	1697	14945
